prompt,generated_answer
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Зокрема нині в підземних водах виділено 85 ( зі 105 ) хімічних елементів таблиці Д . І . Менделєєва , які характеризують загальний хімічний стан води , її властивості та визначають наукове й практичне значення .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Зокрема нині в підземних водах виділено 85 ( зі 105 ) хімічних елементів таблиці Д . І . Менделєєва , які характеризують загальний хімічний стан води , її властивості та визначають наукове й практичне значення .

### Entities:
PERS: Д . І . Менделєєва"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Є три основні джерела постачання тварин водою - поверхневі відкриті водойми , підземні ґрунтові й напірні ( артезіанські ) води , атмосферні опади .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Є три основні джерела постачання тварин водою - поверхневі відкриті водойми , підземні ґрунтові й напірні ( артезіанські ) води , атмосферні опади .

### Entities:
"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Слід також зазначити , що ресурси підземних вод на території України розміщені нерівномірно .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Слід також зазначити , що ресурси підземних вод на території України розміщені нерівномірно .

### Entities:
LOC: України"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Найбільше їх зосереджено в північних та західних областях України – Волинській , Київській , Львівській , Рівненській , Чернігівській .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Найбільше їх зосереджено в північних та західних областях України – Волинській , Київській , Львівській , Рівненській , Чернігівській .

### Entities:
LOC: України
LOC: Волинській
LOC: Київській
LOC: Львівській
LOC: Рівненській
LOC: Чернігівській"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Потужні запаси невикористаних водних ресурсів є в Харківській області .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Потужні запаси невикористаних водних ресурсів є в Харківській області .

### Entities:
LOC: Харківській області"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
У попередніх публікаціях ми описували санітарно-гігієнічну характеристику якості води для напування тварин у господарствах західної біогеохімічної зони України .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
У попередніх публікаціях ми описували санітарно-гігієнічну характеристику якості води для напування тварин у господарствах західної біогеохімічної зони України .

### Entities:
LOC: України"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Слід узяти до уваги той факт , що сучасні технології ведення тваринництва вимагають детальнішого вивчення чинників , які б сприяли отриманню якісної й доступної продукції ( молока , м’яса ) та забезпечували нормальний фізіологічний розвиток тварин і їх відтворення .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Слід узяти до уваги той факт , що сучасні технології ведення тваринництва вимагають детальнішого вивчення чинників , які б сприяли отриманню якісної й доступної продукції ( молока , м’яса ) та забезпечували нормальний фізіологічний розвиток тварин і їх відтворення .

### Entities:
"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
На нашу думку , одним з основних критеріїв якості й безпечності продукції тваринництва є саме вода .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
На нашу думку , одним з основних критеріїв якості й безпечності продукції тваринництва є саме вода .

### Entities:
"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Мета роботи - дослідження хімічного режиму підземних вод , які використовуються для напування тварин у західній біогеохімічній зоні України .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Мета роботи - дослідження хімічного режиму підземних вод , які використовуються для напування тварин у західній біогеохімічній зоні України .

### Entities:
LOC: України"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Матеріали і методи

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Матеріали і методи

### Entities:
"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Дослідження проводили впродовж 2011-2012 рр . у чотирьох господарствах Волинської та Львівської областей України : СГПП « Рать » та СГТЗВО « Городгаце-2 » Луцького району , ПОСП ім . І . Франка Горохівського району , приватній агрофірмі « Білий Стік » ( 1-ше відділення - с . Комарів ; 2-ге - с . Волиця ) Сокальського району Львівської області .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Дослідження проводили впродовж 2011-2012 рр . у чотирьох господарствах Волинської та Львівської областей України : СГПП « Рать » та СГТЗВО « Городгаце-2 » Луцького району , ПОСП ім . І . Франка Горохівського району , приватній агрофірмі « Білий Стік » ( 1-ше відділення - с . Комарів ; 2-ге - с . Волиця ) Сокальського району Львівської області .

### Entities:
PERIOD: 2011-2012 рр
LOC: Волинської та Львівської областей України
ORG: СГПП « Рать »
ORG: СГТЗВО « Городгаце-2 »
LOC: Луцького району
ORG: ПОСП ім . І . Франка
LOC: Горохівського району
ORG: Білий Стік
LOC: Комарів
LOC: Волиця
LOC: Сокальського району Львівської області"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Господарства розташовані в західній біогеохімічній зоні України .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Господарства розташовані в західній біогеохімічній зоні України .

### Entities:
LOC: України"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Проби води для напування тварин у кожному з господарств відбирали зі свердловини й напувалки посезонно , відповідно до чинної методики .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Проби води для напування тварин у кожному з господарств відбирали зі свердловини й напувалки посезонно , відповідно до чинної методики .

### Entities:
"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Воду досліджували методом напувальних проб ( п = 3 ) у ДУ « Волинська регіональна державна лабораторія ветеринарної медицини » за загальноприйнятими методиками .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Воду досліджували методом напувальних проб ( п = 3 ) у ДУ « Волинська регіональна державна лабораторія ветеринарної медицини » за загальноприйнятими методиками .

### Entities:
ORG: ДУ « Волинська регіональна державна лабораторія ветеринарної медицини »"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Вміст важких металів у воді визначали у Київській міській державній лабораторії ветеринарної медицини методом атомно-адсорбційної спектрофотометрії .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Вміст важких металів у воді визначали у Київській міській державній лабораторії ветеринарної медицини методом атомно-адсорбційної спектрофотометрії .

### Entities:
ORG: Київській міській державній лабораторії ветеринарної медицини"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Головні іони та сольовий склад води аналізували за формулою М . Г . Курлова .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Головні іони та сольовий склад води аналізували за формулою М . Г . Курлова .

### Entities:
PERS: М . Г . Курлова"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Якість води оцінювали за Державними санітарними нормами та правилами « Гігієнічні вимоги до води питної , призначеної для споживання людиною » ( ДСанПіН 2.2.4-171-10 ) .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Якість води оцінювали за Державними санітарними нормами та правилами « Гігієнічні вимоги до води питної , призначеної для споживання людиною » ( ДСанПіН 2.2.4-171-10 ) .

### Entities:
ORG: Державними санітарними нормами та правилами
DOC: Гігієнічні вимоги до води питної , призначеної для споживання людиною
DOC: ДСанПіН 2.2.4-171-10"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Експериментальний матеріал було оброблено статистично . У Чернівцях завершилися змагання Кубка України з боксу серед жінок і чемпіонат країни серед молоді .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Експериментальний матеріал було оброблено статистично . У Чернівцях завершилися змагання Кубка України з боксу серед жінок і чемпіонат країни серед молоді .

### Entities:
LOC: Чернівцях
ORG: Кубка України з боксу
LOC: країни"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
П’ятиденний марафон жіночого боксу зібрав у ФОК « Олімпія » двісті кращих спортсменок України у трьох вікових категоріях : юніорки , молодь та дорослі .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
П’ятиденний марафон жіночого боксу зібрав у ФОК « Олімпія » двісті кращих спортсменок України у трьох вікових категоріях : юніорки , молодь та дорослі .

### Entities:
ORG: ФОК « Олімпія »
LOC: України"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Вихованки заслуженого тренера України Віктора Рогатіна показали видовищні та напружені поєдинки .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Вихованки заслуженого тренера України Віктора Рогатіна показали видовищні та напружені поєдинки .

### Entities:
JOB: тренера
LOC: України
PERS: Віктора Рогатіна"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
У ваговій категорії до 51 кг золоту нагороду виборола ковельчанка – заслужений майстер спорту України Тетяна Коб .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
У ваговій категорії до 51 кг золоту нагороду виборола ковельчанка – заслужений майстер спорту України Тетяна Коб .

### Entities:
QUANT: 51 кг
ORG: заслужений майстер спорту України
PERS: Тетяна Коб"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Срібна медаль у ваговій категорії до 75 кг дісталась майстру спорту України Олександрі Федіс ( минулого року вона була володаркою Кубка України у своїй ваговій категорії ) , – повідомили у Ковельському міськвиконкомі . Тетяна Коб у фіналі зустрілась з киянкою Сніжаною Холодковою .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Срібна медаль у ваговій категорії до 75 кг дісталась майстру спорту України Олександрі Федіс ( минулого року вона була володаркою Кубка України у своїй ваговій категорії ) , – повідомили у Ковельському міськвиконкомі . Тетяна Коб у фіналі зустрілась з киянкою Сніжаною Холодковою .

### Entities:
ORG: Ковельському міськвиконкомі
PERS: Тетяна Коб
PERS: Сніжаною Холодковою"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Титулована ковельська спортсменка , призерка чемпіонатів Європи та світу , підтвердила свій високий рівень підготовки .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Титулована ковельська спортсменка , призерка чемпіонатів Європи та світу , підтвердила свій високий рівень підготовки .

### Entities:
LOC: Європи
LOC: світу"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Тож судді віддали перевагу Тетяні .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Тож судді віддали перевагу Тетяні .

### Entities:
JOB: судді
PERS: Тетяні"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Нагадаємо , що вона є чемпіонкою Європи 2009 року , призеркою чемпіонату світу 2010 року , семиразовою чемпіонкою України та восьмиразовою володаркою Кубка України .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Нагадаємо , що вона є чемпіонкою Європи 2009 року , призеркою чемпіонату світу 2010 року , семиразовою чемпіонкою України та восьмиразовою володаркою Кубка України .

### Entities:
ORG: Європи
DATE: 2009 року
ORG: чемпіонату світу
DATE: 2010 року
ORG: України
ORG: Кубка України"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Тож цьогорічна її перемога принесла черговий трофей .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Тож цьогорічна її перемога принесла черговий трофей .

### Entities:
"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Усього впродовж п’яти днів змагань відбулося 122 поєдинки .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Усього впродовж п’яти днів змагань відбулося 122 поєдинки .

### Entities:
PERIOD: п’яти днів"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
У загальнокомандному заліку перемогу здобула команда киян ( 7 перемог ) , на другій сходинці – Волинська та Харківська область ( по 5 ) , а на третій – Чернігівська область ( 4 ) . Цікаву і пізнавальну подорож місцями , де народився та виріс видатний український поет Тарас Шевченко , минулого тижня влаштував департамент культури і туризму Кіровоградської ОДА .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
У загальнокомандному заліку перемогу здобула команда киян ( 7 перемог ) , на другій сходинці – Волинська та Харківська область ( по 5 ) , а на третій – Чернігівська область ( 4 ) . Цікаву і пізнавальну подорож місцями , де народився та виріс видатний український поет Тарас Шевченко , минулого тижня влаштував департамент культури і туризму Кіровоградської ОДА .

### Entities:
ORG: Волинська та Харківська область
ORG: Чернігівська область
PERS: Тарас Шевченко
ORG: департамент культури і туризму Кіровоградської ОДА"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Учасники туру мали змогу відвідати населені пункти Кіровоградщини і Черкащини , де свого часу побував Кобзар , а також ознайомитися з експозиціями місцевих музеїв , присвячених його пам’яті .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Учасники туру мали змогу відвідати населені пункти Кіровоградщини і Черкащини , де свого часу побував Кобзар , а також ознайомитися з експозиціями місцевих музеїв , присвячених його пам’яті .

### Entities:
LOC: Кіровоградщини
LOC: Черкащини
PERS: Кобзар"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Першою зупинкою в мандрівці Шевченковими стежками стало село Моринці Черкаської області – мала батьківщина письменника .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Першою зупинкою в мандрівці Шевченковими стежками стало село Моринці Черкаської області – мала батьківщина письменника .

### Entities:
LOC: Моринці
LOC: Черкаської області
JOB: письменника"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Сьогодні тут розташований музейний комплекс , основою якого є реконструйована селянська хатина .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Сьогодні тут розташований музейний комплекс , основою якого є реконструйована селянська хатина .

### Entities:
"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Саме у такій хатці-мазанці під очеретяним дахом у 1814 році з’явився на світ Т . Шевченко .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Саме у такій хатці-мазанці під очеретяним дахом у 1814 році з’явився на світ Т . Шевченко .

### Entities:
DATE: 1814 році
PERS: Т . Шевченко"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Садиба відтворена за детальним описом шевченкознавця Олександра Кониського з ретельним дотриманням технологій й усіх особливостей народного будівництва , характерного для цієї місцевості й періоду .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Садиба відтворена за детальним описом шевченкознавця Олександра Кониського з ретельним дотриманням технологій й усіх особливостей народного будівництва , характерного для цієї місцевості й періоду .

### Entities:
PERS: Олександра Кониського"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Інтер’єр реалістично відтворює скромний побут багатодітної родини Шевченків .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Інтер’єр реалістично відтворює скромний побут багатодітної родини Шевченків .

### Entities:
PERS: Шевченків"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
А за хатою розгорнувся чудовий вид на яр , засаджений фруктовими деревами .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
А за хатою розгорнувся чудовий вид на яр , засаджений фруктовими деревами .

### Entities:
"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Тут же , біля садиби , встановлено пам’ятник Катерині Бойко ( мамі поета ) з малим Тарасом на руках .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Тут же , біля садиби , встановлено пам’ятник Катерині Бойко ( мамі поета ) з малим Тарасом на руках .

### Entities:
PERS: Катерині Бойко
PERS: Тарасом"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Дитинство Кобзаря минуло у селі Кирилівка ( з 1929 року – село Шевченкове Звенигородського району ) .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Дитинство Кобзаря минуло у селі Кирилівка ( з 1929 року – село Шевченкове Звенигородського району ) .

### Entities:
PERS: Кобзаря
LOC: Кирилівка
DATE: 1929 року
LOC: Шевченкове
LOC: Звенигородського району"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Тут , на місці хатини , в якій мешкала його родина , ще в 1908 році було встановлено перший пам’ятний знак – кам’яні жорна з написом « Тут стояла хата Тараса Шевченка » .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Тут , на місці хатини , в якій мешкала його родина , ще в 1908 році було встановлено перший пам’ятний знак – кам’яні жорна з написом « Тут стояла хата Тараса Шевченка » .

### Entities:
DATE: 1908 році
PERS: Тараса Шевченка"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
А вже в 1939 році відкрився літературно-меморіальний музей .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
А вже в 1939 році відкрився літературно-меморіальний музей .

### Entities:
DATE: 1939 році"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Наразі в місцевих музейних залах представлені унікальні експонати , пов'язані з дитячими роками і творчими здобутками Шевченка - художника .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Наразі в місцевих музейних залах представлені унікальні експонати , пов'язані з дитячими роками і творчими здобутками Шевченка - художника .

### Entities:
PERS: Шевченка"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Зокрема — унікальні меблі з хати родини Шевченка та з маєтку пана Енгельгарта , у якого служив малий Тарас .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Зокрема — унікальні меблі з хати родини Шевченка та з маєтку пана Енгельгарта , у якого служив малий Тарас .

### Entities:
PERS: Шевченка
PERS: Енгельгарта
PERS: Тарас"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
А кожну музейну залу прикрашають репродукції картин Тараса Григоровича , у кожній з яких живе українське село і незламний народний дух .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
А кожну музейну залу прикрашають репродукції картин Тараса Григоровича , у кожній з яких живе українське село і незламний народний дух .

### Entities:
PERS: Тараса Григоровича"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
У 1989 році на честь 175-р іччя від дня народження поета на подвір’ї музею було збудовано точну копію його рідної хати .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
У 1989 році на честь 175-р іччя від дня народження поета на подвір’ї музею було збудовано точну копію його рідної хати .

### Entities:
DATE: 1989 році"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Детально відтворити садибу вдалося завдяки малюнку , автором якого був сам Тарас Шевченко .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Детально відтворити садибу вдалося завдяки малюнку , автором якого був сам Тарас Шевченко .

### Entities:
PERS: Тарас Шевченко"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Свого часу , ще малим , побував Кобзар і на Кіровоградщині .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Свого часу , ще малим , побував Кобзар і на Кіровоградщині .

### Entities:
PERS: Кобзар
LOC: Кіровоградщині"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Подорожуючи з батьком- чумаком , він завітав до Єлисаветграду .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Подорожуючи з батьком- чумаком , він завітав до Єлисаветграду .

### Entities:
LOC: Єлисаветграду"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Пізніше свої спогади про це Шевченко опише в поемі « Наймичка » .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Пізніше свої спогади про це Шевченко опише в поемі « Наймичка » .

### Entities:
PERS: Шевченко
ART: Наймичка"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Сьогодні в Знам’янці проживають нащадки поета — родина Шкоди .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Сьогодні в Знам’янці проживають нащадки поета — родина Шкоди .

### Entities:
LOC: Знам’янці
PERS: Шкоди"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
На їх честь у краєзнавчому музеї в місті облаштовано спеціальний тематичну філію « Кобзарева світлиця » .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
На їх честь у краєзнавчому музеї в місті облаштовано спеціальний тематичну філію « Кобзарева світлиця » .

### Entities:
ORG: Кобзарева світлиця"
"Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Варто зазначити , що нащадки Кобзаря , зокрема В’ячеслав і Євген Шкода , долучилися до створення музейної експозиції , допомігши музейникам створити генеалогічне дерево Тараса Шевченка , а також передавши на зберігання до фондів його книги та картини . Під стелею розгойдувалася потужна лампа , на стінах висіли вижовклі заводські плакати й кілька почесних грамот , отриманих за успіхи в греко-римській боротьбі .

### Entities:
","Below is a text in Ukrainian. Identify all named entities with their types.

### Text:
Варто зазначити , що нащадки Кобзаря , зокрема В’ячеслав і Євген Шкода , долучилися до створення музейної експозиції , допомігши музейникам створити генеалогічне дерево Тараса Шевченка , а також передавши на зберігання до фондів його книги та картини . Під стелею розгойдувалася потужна лампа , на стінах висіли вижовклі заводські плакати й кілька почесних грамот , отриманих за успіхи в греко-римській боротьбі .

### Entities:
PERS: Кобзаря
PERS: В’ячеслав
PERS: Євген Шкода
PERS: Тараса Шевченка
PERS: Тараса Шевченка"
